,quant,min_temp,max_temp,day-1,day-2,day-3,day-4,day-5,day-6,day-7,day-8,day-9,day-10
341,0,17.0,26.0,0,0,2257920,2892960,0,0,0,460800,460800,0
342,0,16.0,25.0,0,0,0,2257920,2892960,0,0,0,460800,460800
343,1824480,23.0,34.0,0,0,0,0,2257920,2892960,0,0,0,460800
344,2439360,24.0,34.0,1824480,0,0,0,0,2257920,2892960,0,0,0
345,4475520,25.0,35.0,2439360,1824480,0,0,0,0,2257920,2892960,0,0
346,0,16.0,24.0,4475520,2439360,1824480,0,0,0,0,2257920,2892960,0
347,0,15.0,24.0,0,4475520,2439360,1824480,0,0,0,0,2257920,2892960
348,826560,27.0,37.0,0,0,4475520,2439360,1824480,0,0,0,0,2257920
349,2459520,27.0,38.0,826560,0,0,4475520,2439360,1824480,0,0,0,0
350,0,14.0,21.0,2459520,826560,0,0,4475520,2439360,1824480,0,0,0
351,0,11.0,20.0,0,2459520,826560,0,0,4475520,2439360,1824480,0,0
352,4011840,25.0,35.0,0,0,2459520,826560,0,0,4475520,2439360,1824480,0
353,0,12.0,21.0,4011840,0,0,2459520,826560,0,0,4475520,2439360,1824480
